code,name,eog_score_black
130328,Royal Oaks Elementary,28.5
130329,Rocky River Elementary,36.6
130330,R Brown McAllister Elementary,34.5
130331,Pitts School Road Elementary,54.1
130332,Hickory Ridge High,58.1
130333,Performance Learning Center,N/A
130336,W R Odell Primary,N/A
130337,W R Odell Elementary,72.2
130338,Weddington Hills Elementary,53.8
130340,Winecoff Elementary,30.6
130342,W M Irvin Elementary,27.2
130344,Wolf Meadow Elementary,45.8
130345,Patriots Elementary,69.4
130346,Hickory Ridge Middle,72.5
130349,Cabarrus Early College of Technology,N/A
130350,Cabarrus-Kannapolis Early Coll,91.7
130355,Harold E. Winkler Middle,57.8
132308,Forest Park Elementary,50
132312,Fred L Wilson Elementary,42.9
132314,GW Carver Elementary,34.3
132328,Jackson Park Elementary,27.4
132330,Kannapolis Middle,30.9
132332,Shady Brook Elementary,41
132336,Woodrow Wilson Elementary,20.4
140304,Baton Elementary,N/A
140305,Caldwell Career Cen Mid. Coll.,N/A
140306,Gateway School,N/A
140307,Horizons Elementary,N/A
140308,Collettsville School,N/A
140309,Caldwell Early College,N/A
140312,Davenport A+ School,31
140316,Dudley Shoals Elementary,N/A
140324,Gamewell Elementary,32.6
140332,Gamewell Middle,41.7
140336,Granite Falls Middle,N/A
140340,Granite Falls Elementary,N/A
140344,Happy Valley Elementary,N/A
140348,Hibriten High,33.3
140390,West Caldwell High,18.2
140352,Hudson Elementary,N/A
140356,Hudson Middle,N/A
140360,Kings Creek Elementary,N/A
140368,William Lenoir Middle,36
140372,Lower Creek Elementary,N/A
140376,Oak Hill Elementary,N/A
140384,Sawmills Elementary,N/A
140386,South Caldwell High,N/A
140388,Valmead Elementary,N/A
140392,West Lenoir Elementary,15.6
140396,Whitnel Elementary,36.7
150304,Camden County High,48.6
150308,Grandy Primary,N/A
150310,Camden Intermediate,41.9
150312,Camden Middle,36.4
150350,Camden Early College High,N/A
160304,Atlantic Elementary,N/A
160306,Bogue Sound Elementary,N/A
160308,Beaufort Elementary,54.7
160309,Bridges School,N/A
160310,Beaufort Middle,52.8
160311,Broad Creek Middle,N/A
160313,East Carteret High,N/A
160314,Croatan High,N/A
160316,Harkers Island Elementary,N/A
160317,Morehead Elem at Camp Glenn,59.5
160318,Morehead City Middle,50
160322,Morehead City Primary,43.3
160324,Newport Elementary,57.9
160326,Newport Middle,69.4
160332,Down East Middle and Smyrna Elementary,N/A
160343,Marine Sci. & Tech. Early College HS,N/A
160344,West Carteret High,N/A
160352,White Oak Elementary,N/A
170316,Bartlett Yancey High,23.1
170334,North Elementary,57.3
170338,N L Dillard Middle,24.5
170339,Oakwood Elementary,38.6
170342,South Elementary,39.1
170344,Stoney Creek Elementary,25
180302,Harry M Arndt Middle,52.5
180304,Balls Creek Elementary,N/A
180308,Bandys High,N/A
180312,Banoak Elementary,N/A
180316,Blackburn Elementary,N/A
180320,Bunker Hill High,N/A
180376,Saint Stephens High,38.5
180323,Catawba Rosenwald Education Center,N/A
180324,Catawba Elementary School,43.2
180325,Challenger Early College High,N/A
180326,Charles H Tuttle Elementary,N/A
180332,Claremont Elementary,27.8
180336,Clyde Campbell Elementary,23.3
180340,Fred T Foard High,N/A
180342,Jacobs Fork Middle,60.9
180343,Lyle Creek Elementary,N/A
180344,Maiden Elementary,38.7
180346,Maiden Middle School,47.9
180348,Maiden High,N/A
681305,Carrboro High,26.3
180352,Mill Creek Middle,N/A
180356,Mountain View Elementary,50
180360,Oxford Elementary,N/A
180364,River Bend Middle,26
180368,Sherrills Ford Elementary,N/A
180372,Saint Stephens Elementary,37.1
180379,Snow Creek Elementary,N/A
180380,Startown Elementary,N/A
180388,Webb A Murray Elementary,30.6
181312,Northview Middle,29.8
181316,Grandview Middle,28.5
181318,Hickory Career Arts Magnet High School,N/A
181326,W M Jenkins Elementary,21.2
181332,Longview Elementary,52.4
181336,Oakwood Elementary,33.3
181342,Southwest Primary,N/A
181344,Viewmont Elementary,33
182304,Conover Special Education,N/A
182321,Newton-Conover Middle,37.4
182322,Shuford Elementary,N/A
182324,South Newton Elementary,31.9
182328,North Newton Elementary,28.8
182700,Discovery High School,N/A
190304,Bennett School,N/A
190308,Bonlee School,44.1
190310,SAGE Academy,N/A
190312,Chatham Middle,25.6
190316,Chatham Central High,N/A
190328,Horton Middle,33
190332,J S Waters School,50
190339,Margaret B. Pollard Middle,43.5
190340,Moncure School,34.6
190341,North Chatham Elementary,N/A
190342,Northwood High,34.9
190346,Perry W Harrison Elementary,66.1
190348,Pittsboro Elementary,38.9
190350,Siler City Elementary,43
190352,Silk Hope School,N/A
190370,Virginia Cross Elementary,31.1
