code,name,county,city,full_address,long,lat
600462,Mountain Island Lake Academy,Mecklenburg,Charlotte,"7905 Pleasant Grove Rd, Charlotte, NC 28216",-80.9284637,35.3080846
600463,River Oaks Academy,Mecklenburg,Charlotte,"1015 Mt Holly-Huntersville Rd, Charlotte, NC 28214",-80.9785597,35.3084442
600464,Myers Park Traditional,Mecklenburg,Charlotte,"2132 Radcliffe Ave, Charlotte, NC 28207",-80.834373,35.1903132
600466,Myers Park High,Mecklenburg,Charlotte,"2400 Colony Rd, Charlotte, NC 28209",-80.833111,35.17166
600468,Nathaniel Alexander Elementary,Mecklenburg,Charlotte,"7910 Neal Rd, Charlotte, NC 28262",-80.7746749,35.2989247
600471,Nations Ford Elementary,Mecklenburg,Charlotte,"7050 Nations Ford Rd, Charlotte, NC 28217",-80.9062559,35.1561534
600474,Newell Elementary,Mecklenburg,Charlotte,"325 Rocky River Road, West, Charlotte, NC 28213",-80.7535508,35.2867519
600475,Vaughan Academy of Technology,Mecklenburg,Charlotte,"8601 Old Concord Rd, Charlotte, NC 28213",-80.7336546,35.2857713
600478,J H Gunn Elementary,Mecklenburg,Charlotte,"7400 Harrisburg Rd, Charlotte, NC 28215",-80.6854883,35.2159386
600479,Northeast Middle,Mecklenburg,Charlotte,"5960 Brickstone Dr, Charlotte, NC 28227",-80.691912,35.198088
600480,North Mecklenburg High,Mecklenburg,Huntersville,"11201 Old Statesville Rd, Huntersville, NC 28078",-80.833625,35.372836
600481,Northridge Middle,Mecklenburg,Charlotte,"7601 The Plaza, Charlotte, NC 28215",-80.730476,35.2605514
600482,Northwest School of the Arts,Mecklenburg,Charlotte,"1415 Beatties Ford Rd, Charlotte, NC 28216",-80.856305,35.256825
600484,Oakhurst STEAM Academy,Mecklenburg,Charlotte,"4511 Monroe Rd, Charlotte, NC 28205",-80.784122,35.1949402
600485,Oakdale Elementary,Mecklenburg,Charlotte,"1825 Oakdale Rd, Charlotte, NC 28216",-80.89703,35.300444
600488,Oaklawn Language Academy,Mecklenburg,Charlotte,"1810 Oaklawn Ave, Charlotte, NC 28216",-80.850267,35.2511641
600489,Bruns Academy,Mecklenburg,Charlotte,"501 S. Bruns Ave, Charlotte, NC 28208",-80.8648481,35.2391236
600491,Olde Providence Elementary,Mecklenburg,Charlotte,"3800 Rea Rd, Charlotte, NC 28226",-80.798528,35.110659
600492,Park Road Montessori,Mecklenburg,Charlotte,"3701 Haven Dr, Charlotte, NC 28209",-80.848753,35.177742
600493,Palisades Park Elementary,Mecklenburg,Charlotte,"15321 York Rd, Charlotte, NC 28278",-81.0260352,35.0934205
600494,Paw Creek Elementary,Mecklenburg,Charlotte,"1300 Cathey Rd, Charlotte, NC 28214",-80.945291,35.291126
600496,Phillip O Berry Academy of Technology,Mecklenburg,Charlotte,"1430 Alleghany St, Charlotte, NC 28208",-80.8916489,35.2392789
600497,Piedmont IB Middle,Mecklenburg,Charlotte,"1241 E 10th St, Charlotte, NC 28204",-80.8241976,35.223098
600498,"Performance Learning Center, Charlotte",Mecklenburg,Charlotte,"2300 W Sugar Creek Road, Charlotte, NC 28262",-80.7966819,35.2950261
600499,eLearning Academy,Mecklenburg,Charlotte,"800 Everett Place, Charlotte, NC 28205",-80.8127771,35.2366984
600500,Pineville Elementary,Mecklenburg,Pineville,"204 Lowery St, Pineville, NC 28134",-80.8878455,35.0822225
600501,"Pinewood Elementary, Charlotte",Mecklenburg,Charlotte,"805 Seneca Pl, Charlotte, NC 28210",-80.8645023,35.1663759
600503,"Piney Grove Elementary, Charlotte",Mecklenburg,Charlotte,"8801 Eaglewind Dr, Charlotte, NC 28212",-80.730872,35.173359
600507,Providence Spring Elementary,Mecklenburg,Charlotte,"10045 Providence Church Ln, Charlotte, NC 28277",-80.769857,35.0727509
600508,Providence High,Mecklenburg,Charlotte,"1800 Pineville-Matthews Rd, Charlotte, NC 28270",-80.762742,35.110559
600509,Quail Hollow Middle,Mecklenburg,Charlotte,"2901 Smithfield Church Rd, Charlotte, NC 28210",-80.8537379,35.1133681
600512,Rama Road Elementary,Mecklenburg,Charlotte,"1035 Rama Rd, Charlotte, NC 28211",-80.7715531,35.169906
600513,Randolph Middle,Mecklenburg,Charlotte,"4400 Water Oak Rd, Charlotte, NC 28211",-80.79453,35.184135
600514,Ranson Middle,Mecklenburg,Charlotte,"5850 Statesville Rd, Charlotte, NC 28269",-80.8389821,35.3003216
