code,name,county,city,full_address
840320,Locust Elementary,Stanly,Locust,"103 School Rd, Locust, NC 28097"
840324,Millingport Elementary,Stanly,Albemarle,"24198 NC Hwy 73 W, Albemarle, NC 28001"
840328,North Stanly Middle,Stanly,New London,"36605 Old Salisbury Rd, New London, NC 28127"
840332,North Stanly High,Stanly,New London,"40206 US Hwy 52 N, New London, NC 28127"
840336,Norwood Elementary,Stanly,Norwood,"400 South Main St, Norwood, NC 28128"
840342,Oakboro Choice STEM,Stanly,Oakboro,"1244 N Main St, Oakboro, NC 28129"
840344,Richfield Elementary,Stanly,Richfield,"120 Morgan Street, Richfield, NC 28137"
840350,West Stanly Middle School,Stanly,Locust,"339 Running Creek Church Rd, Locust, NC 28097"
840356,South Stanly High,Stanly,Norwood,"40488 S Stanly School Rd, Norwood, NC 28128"
840358,South Stanly Middle,Stanly,Norwood,"12492 Cottonville Road, Norwood, NC 28128"
840360,Stanfield Elementary,Stanly,Stanfield,"101 Montgomery St, Stanfield, NC 28163"
840361,Stanly Early College High,Stanly,Albemarle,"141 College Drive, Albemarle, NC 28001"
840368,West Stanly High,Stanly,Oakboro,"306 East Red Cross Road, Oakboro, NC 28129"
840370,Stanly Academy Learning Center,Stanly,Albemarle,"1121 Austin Street, Albemarle, NC 28001"
840LEA,Stanly County Schools,Stanly,Albemarle,"1000-4 N First Street, Albemarle, NC 28001"
84B000,Gray Stone Day,Stanly,Misenheimer,"49464 Merner Terrace, Misenheimer, NC 28109"
850304,Chestnut Grove Middle,Stokes,King,"2185 Chestnut Grove Road, King, NC 27021"
850312,Germanton Elementary,Stokes,Germanton,"6085 NC 8 Hwy South, Germanton, NC 27019"
850314,Mount Olive Elementary,Stokes,King,"2145 Chestnut Grove Road, King, NC 27021"
850316,King Elementary,Stokes,King,"152 East School St, King, NC 27021"
850320,Lawsonville Elementary,Stokes,Lawsonville,"4611 NC 8 Hwy North, Lawsonville, NC 27022"
850324,Meadowbrook Academy,Stokes,King,"817 Meadowbrook Drive, King, NC 27021"
850328,Nancy Reynolds Elementary,Stokes,Westfield,"1585 NC 66 Hwy North, Westfield, NC 27053"
850332,North Stokes High,Stokes,Danbury,"1350 N Stokes Sch Rd, Danbury, NC 27016"
850336,Pine Hall Elementary,Stokes,Pine Hall,"1400 Pine Hall Road, Pine Hall, NC 27042"
850338,Piney Grove Middle,Stokes,Lawsonville,"3415 Piney Grove Church Road, Lawsonville, NC 27022"
850340,Pinnacle Elementary,Stokes,Pinnacle,"1095 Surry Line Rd, Pinnacle, NC 27043"
850342,Poplar Springs Elementary,Stokes,King,"223 Hobe Kiser Road, King, NC 27021"
850348,"Sandy Ridge Elementary, Sandy Ridge",Stokes,Sandy Ridge,"1070 Amostown Road, Sandy Ridge, NC 27046"
850350,Southeastern Middle,Stokes,Walnut Cove,"1044 N Main Street, Walnut Cove, NC 27052"
850352,South Stokes High,Stokes,Walnut Cove,"1100 S Stokes High Drive, Walnut Cove, NC 27052"
850354,London Elementary,Stokes,Walnut Cove,"609 School Street, Walnut Cove, NC 27052"
850356,Walnut Cove Elementary,Stokes,Walnut Cove,"1211 Walnut Cove School Rd, Walnut Cove, NC 27052"
850358,West Stokes High,Stokes,King,"1400 Priddy Road, King, NC 27021"
850360,Stokes Early College,Stokes,Walnut Cove,"1165 Dodgetown Rd, Walnut Cove, NC 27052"
850LEA,Stokes County Schools,Stokes,Danbury,"100 Courthouse Circle, Danbury, NC 27016"
860302,Cedar Ridge Elementary,Surry,Lowgap,"734 Flippin Road, Lowgap, NC 27024"
860306,"Central Middle, Dobson",Surry,Dobson,"883 Zephyr Rd, Dobson, NC 27017"
860308,Copeland Elementary,Surry,Dobson,"948 Copeland School Road, Dobson, NC 27017"
860312,Dobson Elementary,Surry,Dobson,"400 W Atkins Street, Dobson, NC 27017"
860316,East Surry High,Surry,Pilot Mountain,"801 W Main Street, Pilot Mountain, NC 27041"
860320,Flat Rock Elementary,Surry,Mount Airy,"1539 E Pine St, Mount Airy, NC 27030"
860324,Franklin Elementary,Surry,Mount Airy,"519 S Franklin Road, Mount Airy, NC 27030"
860326,J Sam Gentry Middle,Surry,Mount Airy,"1915 W Pine Street, Mount Airy, NC 27030"
860330,Meadowview Magnet Middle,Surry,Mount Airy,"1282 McKinney Road, Mount Airy, NC 27030"
860332,Mountain Park Elementary,Surry,State Road,"505 Mountain Park Rd, State Road, NC 28676"
860336,North Surry High,Surry,Mount Airy,"2440 W Pine Street, Mount Airy, NC 27030"
860339,Pilot Mountain Elementary,Surry,Pilot Mountain,"218 Friends St., Pilot Mountain, NC 27041"
860340,Pilot Mountain Middle,Surry,Pilot Mountain,"543 Old Westfield Road, Pilot Mountain, NC 27041"
860344,Rockford Elementary,Surry,Dobson,"719 Rockford Rd, Dobson, NC 27017"
860348,Shoals Elementary,Surry,Pinnacle,"1800 Shoals Road, Pinnacle, NC 27043"
860352,Surry Central High,Surry,Dobson,"716 South Main Street, Dobson, NC 27017"
860354,Surry Early College,Surry,Dobson,"630 South Main Street, Dobson, NC 27017"
860356,Westfield Elementary,Surry,Pilot Mountain,"273 Jessup Grove Church Rd, Pilot Mountain, NC 27041"
860360,White Plains Elementary,Surry,Mount Airy,"710 Cadle Ford Rd, Mount Airy, NC 27030"
860LEA,Surry County Schools,Surry,Dobson,"209 N Crutchfield St, Dobson, NC 27017"
861304,Elkin Elementary,Surry,Elkin,"135 Old Virginia Rd, Elkin, NC 28621"
861308,Elkin High,Surry,Elkin,"334 Elk Spur St, Elkin, NC 28621"
861312,Elkin Middle,Surry,Elkin,"300 Elk Spur St, Elkin, NC 28621"
861LEA,Elkin City Schools,Surry,Elkin,"202 West Spring St, Elkin, NC 28621"
862308,Bruce H Tharrington Primary,Surry,Mount Airy,"315 Culbert Street, Mount Airy, NC 27030"
862310,Jones Intermediate,Surry,Mount Airy,"2170 Riverside Drive, Mount Airy, NC 27030"
862312,Mount Airy High,Surry,Mount Airy,"1011 N South St, Mount Airy, NC 27030"
862316,Mount Airy Middle,Surry,Mount Airy,"249 Hamburg Street, Mount Airy, NC 27030"
