index,code,name_x,county,city,full_address,long,lat,district,name_y,region,grades,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
18,10357,Haw River Elementary,Alamance,Haw River,"701 E Main Street, Haw River, NC 27258",-79.358827,36.092396,Alamance-Burlington Schools,Haw River Elementary,Piedmont-Triad,PK-05,Y,55.9,D,Met,34.6,
19,10358,"Hillcrest Elementary, Burlington",Alamance,Burlington,"1714 W Davis Street, Burlington, NC 27215",-79.4648653,36.1031392,Alamance-Burlington Schools,Hillcrest Elementary,Piedmont-Triad,PK-05,Y,57.6,D,Met,33.1,
20,10360,Hugh M Cummings High,Alamance,Burlington,"2200 N Mebane Street, Burlington, NC 27217",-79.396541,36.0886278,,,,,,,,,,
21,10362,Marvin B Smith Elementary,Alamance,Burlington,"2235 Delaney Drive, Burlington, NC 27215",-79.4787377,36.0772234,,,,,,,,,,
22,10364,North Graham Elementary,Alamance,Graham,"1025 Trollinger Road, Graham, NC 27253",-79.3777934,36.0763205,Alamance-Burlington Schools,North Graham Elementary,Piedmont-Triad,PK-05,Y,63.2,D,Met,42.3,
23,10372,"Pleasant Grove Elementary, Burlington",Alamance,Burlington,"2847 Pleasant Grv Sch Road, Burlington, NC 27217",-79.3056019,36.217398,Alamance-Burlington Schools,Pleasant Grove Elementary,Piedmont-Triad,PK-05,Y,52,D,Not Met,46.9,
24,10374,R Homer Andrews Elementary,Alamance,Burlington,"2630 Buckingham Road, Burlington, NC 27217",-79.3834238,36.0944585,,,,,,,,,,
25,10378,Ray Street Academy,Alamance,Graham,"609 Ray Street, Graham, NC 27253",-79.395666,36.0614951,,,,,,,,,,
26,10380,South Graham Elementary,Alamance,Graham,"320 Ivey Road, Graham, NC 27253",-79.3936579,36.0520937,Alamance-Burlington Schools,South Graham Elementary,Piedmont-Triad,PK-05,Y,46.4,D,Met,45.3,
27,10384,South Mebane Elementary,Alamance,Mebane,"600 S 3rd Street, Mebane, NC 27302",-79.2752451,36.0888099,,,,,,,,,,
28,10388,Southern High,Alamance,Graham,"631 Southern High Road, Graham, NC 27253",-79.40889,36.006858,,,,,,,,,,
29,10390,"Southern Middle, Graham",Alamance,Graham,"771 Southern High Road, Graham, NC 27253",-79.4088981,36.004284,,,,,,,,,,
30,10392,Sylvan Elementary,Alamance,Snow Camp,"7718 Sylvan Road, Snow Camp, NC 27349",-79.4365221,35.8799967,Alamance-Burlington Schools,Sylvan Elementary,Piedmont-Triad,PK-05,Y,62.3,D,Met,43.8,
31,10394,Turrentine Middle,Alamance,Burlington,"1710 Edgewood Avenue, Burlington, NC 27215",-79.4623901,36.0907285,Alamance-Burlington Schools,Turrentine Middle,Piedmont-Triad,8-Jun,Y,65,D,Not Met,41.5,
32,10396,Walter M Williams High,Alamance,Burlington,"1307 S Church Street, Burlington, NC 27215",-79.4543311,36.0884929,,,,,,,,,,
33,10400,Western Alamance High,Alamance,Elon,"1731 N NC 87, Elon, NC 27244",-79.4991966,36.1528055,,,,,,,,,,
