affiliate,name,CISNC_school,code,county,city,full_address,Longitude,Latitude,district,region,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
CIS of Cape Fear,Edwin A Alderman Elementary,yes,650324,New Hanover,Wilmington,"2025 Independence Boulevard , Wilmington, NC 28403",-77.90728,34.205779,New Hanover County Schools,Southeast,Y,67.8,C,Met,44.7,N/A
CIS of Cape Fear,Holly Shelter Middle,yes,650343,New Hanover,Castle Hayne,"3921 Roger Haynes Dr, Castle Hayne, NC 28429",-77.8921642,34.350508,New Hanover County Schools,Southeast,Y,65.4,C,Not Met,57.9,N/A
CIS of Cape Fear,Castle Hayne Elementary,yes,650309,New Hanover,Castle Hayne,"3925 Roger Haynes Drive, Castle Hayne, NC 28429",-77.8914786,34.3509008,New Hanover County Schools,Southeast,Y,62.2,C,Not Met,58.7,N/A
CIS of Cape Fear,Murrayville Elementary,yes,650348,New Hanover,Wilmington,"225 Mabee Way, Wilmington, NC 28411",-77.8510147,34.298352,New Hanover County Schools,Southeast,Y,61.9,B,Not Met,69.3,N/A
CIS of Cape Fear,Williams Elementary,yes,110412,New Hanover,Wilmington,"801 Silver Lake Road, Wilmington, NC 28412",-82.4025554,35.6042883,New Hanover County Schools,Southeast,Y,59.7,C,Met,49.8,N/A
CIS of Cape Fear,The International School at Gregory,yes,650332,New Hanover,Wilmington,"319 S. Tenth St , Wilmington, NC 28401",-77.9362636,34.2322206,New Hanover County Schools,Southeast,Y,56.9,C,Met,51.1,N/A
CIS of Cape Fear,Emma B Trask Middle,yes,650325,New Hanover,Wilmington,"2900 N College Rd, Wilmington, NC 28405",-77.8729674,34.3012724,New Hanover County Schools,Southeast,Y,55.7,B,Met,66.7,N/A
N/A,Graham Elementary,no,230342,Cleveland,Shelby,"1100 Blanton Street, Shelby, NC 28150",-81.558864,35.288762,Cleveland County Schools,Southwest,Y,78.3,F,Not Met,25,N/A
CIS of Cape Fear,Pine Valley Elementary,yes,650362,New Hanover,Wilmington,"440 John S Mosby Dr, Wilmington, NC 28412",-77.8996547,34.1794746,New Hanover County Schools,Southeast,Y,55,B,Met,66,N/A
CIS of Cape Fear,New Hanover High,yes,650352,New Hanover,Wilmington,"1307 Market St, Wilmington, NC 28401",-77.9323226,34.2373594,New Hanover County Schools,Southeast,N,54.6,C,Met,46.9,80.9
CIS of Cape Fear,John J Blair Elementary,yes,650341,New Hanover,Wilmington,"6510 Market Street , Wilmington, NC 28405",-77.83933,34.2565979,New Hanover County Schools,Southeast,Y,49.8,C,Met,67.1,N/A
CIS of Cape Fear,Myrtle Grove Middle,yes,650351,New Hanover,Wilmington,"901 Piner Rd, Wilmington, NC 28409",-77.8840061,34.1373085,New Hanover County Schools,Southeast,Y,49.8,C,Met,65.8,N/A
N/A,Acme Delco Elementary,no,240308,Columbus,Riegelwood,"16337 Old Lake Road, Riegelwood, NC 28456",-78.2544189,34.3475806,Columbus County Schools,Sandhills,Y,82.1,D,Not Met,48,N/A
N/A,Chadbourn Elementary,no,240332,Columbus,Chadbourn,"409 E Third Avenue, Chadbourn, NC 28431",-78.8215184,34.3258017,Columbus County Schools,Sandhills,Y,91.3,D,Not Met,47.7,N/A
N/A,Evergreen Elementary,no,240344,Columbus,Evergreen,"7211 Old 74 Hwy, Evergreen, NC 28438",-80.4392229,34.9810153,Columbus County Schools,Sandhills,Y,85.8,D,Met,43.9,N/A
N/A,Tabor City Elementary,no,240372,Columbus,Tabor City,"203 Stake Road, Tabor City, NC 28463",-78.8739183,34.1517631,Columbus County Schools,Sandhills,Y,75.3,D,Not Met,47.1,N/A
N/A,Tabor City Middle,no,240376,Columbus,Tabor City,"701 W Sixth Street, Tabor City, NC 28463",-78.8862692,34.1487488,Columbus County Schools,Sandhills,Y,78.4,D,Met,34.1,N/A
N/A,Vanceboro-Farm Life Elementary,no,250320,Craven,Vanceboro,"2000 Farm Life Avenue, Vanceboro, NC 28586",-77.1465944,35.3070019,Craven County Schools,Southeast,Y,79.6,D,Not Met,45.6,N/A
N/A,H J MacDonald Middle,no,250332,Craven,New Bern,"3127 Elizabeth Avenue, New Bern, NC 28562",-77.0977115,35.1173264,Craven County Schools,Southeast,N,67.1,D,Not Met,48.4,N/A
N/A,Havelock Middle,no,250344,Craven,Havelock,"102 Middle School Lane, Havelock, NC 28532",-76.8982898,34.877554,Craven County Schools,Southeast,N,67.5,D,Not Met,46.7,N/A
N/A,J T Barber Elementary,no,250348,Craven,New Bern,"1700 Cobb Street, New Bern, NC 28560",-77.0638683,35.1194548,Craven County Schools,Southeast,Y,87.6,D,Met,27.7,N/A
N/A,Oaks Road Elementary,no,250360,Craven,New Bern,"2811 Oaks Road, New Bern, NC 28560",-77.0655386,35.1277177,Craven County Schools,Southeast,Y,80.6,D,Met,32.6,N/A
N/A,West Craven Middle,no,250376,Craven,New Bern,"515 NW Craven Mid School Road, New Bern, NC 28562",-77.1508531,35.217075,Craven County Schools,Southeast,N,72.9,D,Not Met,38.7,N/A
CIS of Cape Fear,Pender Early College High,yes,710LEA,Pender,Burgaw,"925 Penderlea Hwy, Burgaw, NC 28425",-77.9405776,34.5528868,Pender County Schools,Southeast,N,49.3,A,Exceeded,95,95
N/A,Loyd E Auman Elementary,no,260310,Cumberland,Fayetteville,"6882 Raeford Road, Fayetteville, NC 28304",-79.0110444,35.0380906,Cumberland County Schools,Sandhills,Y,65.5,D,Met,40.7,N/A
N/A,Douglas Byrd Middle,no,260321,Cumberland,Fayetteville,"1616 Ireland Drive, Fayetteville, NC 28304",-78.948283,35.034917,Cumberland County Schools,Sandhills,Y,75.6,D,Not Met,34.2,N/A
N/A,Douglas Byrd High,no,260322,Cumberland,Fayetteville,"1624 Ireland Drive, Fayetteville, NC 28304",-78.950225,35.032099,Cumberland County Schools,Sandhills,Y,71.4,D,Not Met,29.1,73.7
N/A,Anne Chesnutt Middle,no,260336,Cumberland,Fayetteville,"2121 Skibo Road, Fayetteville, NC 28314",-78.9734273,35.0503665,Cumberland County Schools,Sandhills,N,63.1,D,Not Met,39.2,N/A
N/A,Luther Nick Jeralds Middle,no,260358,Cumberland,Fayetteville,"2517 Ramsey Street, Fayetteville, NC 28301",-78.8788675,35.0928179,Cumberland County Schools,Sandhills,Y,82.9,D,Not Met,39,N/A
N/A,Ferguson-Easley Elementary,no,260361,Cumberland,Fayetteville,"1857 Seabrook Road, Fayetteville, NC 28301",-78.8992413,35.0849912,Cumberland County Schools,Sandhills,Y,90,D,Met,35.8,N/A
N/A,Hope Mills Middle,no,260368,Cumberland,Hope Mills,"4975 Cameron Road, Hope Mills, NC 28348",-78.9399003,34.9655563,Cumberland County Schools,Sandhills,N,55.1,D,Not Met,47.4,N/A
N/A,Ed V Baldwin Elementary,no,260370,Cumberland,Hope Mills,"4441 Legion Road, Hope Mills, NC 28348",-78.9336749,34.978952,Cumberland County Schools,Sandhills,Y,56.9,D,Met,44.7,N/A
CIS of Cape Fear,Wilmington Early College High,yes,650394,New Hanover,Wilmington,"4500 Blue Clay Rd, WECHS Bldg.ND122, Castle Hayne, NC 28429",-77.8801909,34.3228604,New Hanover County Schools,Southeast,N,48.6,A,Met,89.1,95
