district_from_state,code,name_from_state,region,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
Bladen County Schools,090317,Bladenboro Primary,Sandhills,Y,83.9,C,Not Met,56.3,
Charlotte-Mecklenburg Schools,600498,Performance Learning Center,Southwest,Y,39.7,D,Not Met,25,89.7
Bladen County Schools,090320,Clarkton School of Discovery,Sandhills,Y,71.2,C,Not Met,53.1,
Kannapolis City Schools,132330,Kannapolis Middle,Southwest,,39.7,D,Not Met,44.4,
Nash-Rocky Mount Schools,640336,Middlesex Elementary,North Central,Y,39.7,D,Met,35.6,
Bladen County Schools,090330,East Bladen High,Sandhills,,70.7,C,Met,44.3,94.1
Charlotte-Mecklenburg Schools,600545,Starmount Acad of Excellence,Southwest,Y,40.6,D,Not Met,41.7,
Bladen County Schools,090333,Elizabethtown Primary,Sandhills,Y,83.2,C,Met,49.4,
Forsyth County Schools,340514,Smith Farm Elementary,Piedmont-Triad,Y,40.6,D,Met,36,
Charlotte-Mecklenburg Schools,600592,Vance High,Southwest,Y,40.7,D,Not Met,34.6,76.5
Bladen County Schools,090368,West Bladen High,Sandhills,,71.7,C,Met,41.4,89.7
Bladen County Schools,090376,Bladen Early College,Sandhills,,74.5,C,Met,54.5,
Brunswick County Schools,100302,Belville Elementary,Southeast,Y,55.6,B,Met,62.9,
Brunswick County Schools,100304,Bolivia Elementary,Southeast,Y,71.9,B,Exceeded,67,
Brunswick County Schools,100307,Brunswick County Early College,Southeast,,46.8,A,Exceeded,>95,>95
Brunswick County Schools,100308,The COAST,Southeast,,83,ALT,,,
Brunswick County Schools,100309,Cedar Grove Middle,Southeast,Y,75.5,C,Exceeded,50.9,
Brunswick County Schools,100310,Jessie Mae Monroe Elementary,Southeast,Y,73.3,C,Not Met,52.3,
Anson County Schools,040330,Wadesboro Elementary,Southwest,Y,71.9,F,Not Met,22,
Brunswick County Schools,100320,Lincoln Elementary,Southeast,Y,81.8,C,Exceeded,45,
Brunswick County Schools,100326,North Brunswick High,Southeast,,62.9,B,Met,57.5,83.8
Brunswick County Schools,100332,Shallotte Middle,Southeast,Y,66.1,C,Met,59.8,
Brunswick County Schools,100334,South Brunswick High,Southeast,,51.6,B,Met,58.7,84.4
Brunswick County Schools,100335,South Brunswick Middle,Southeast,Y,61.9,C,Met,53,
Brunswick County Schools,100336,Southport Elementary,Southeast,Y,55.5,C,Met,63,
Charter Schools,97D000,Bridges Academy,Northwest,Y,41.6,D,Met,36.3,
Brunswick County Schools,100339,Town Creek Elementary,Southeast,Y,64.6,B,Exceeded,70.3,
Brunswick County Schools,100340,Union Elementary,Southeast,Y,59.6,A,Exceeded,85.4,
Brunswick County Schools,100342,Virginia Williamson Elem,Southeast,Y,75.5,C,Met,57.8,
Brunswick County Schools,100344,Waccamaw,Southeast,Y,73.3,C,Met,56.9,
Brunswick County Schools,100348,West Brunswick High,Southeast,,57.3,C,Not Met,54.1,87.5
Buncombe County Schools,110303,Community High School,Western,,83.1,ALT,,,
Buncombe County Schools,110304,Reynolds High,Western,,37.2,B,Exceeded,68.4,93.3
Buncombe County Schools,110306,Reynolds Middle,Western,,59.2,C,Met,60.8,
Buncombe County Schools,110308,Barnardsville Elementary,Western,Y,61.8,C,Not Met,56.2,
Buncombe County Schools,110318,Black Mountain Elementary,Western,Y,54.9,C,Met,61.8,
Buncombe County Schools,110320,Black Mountain Primary,Western,Y,49.9,C,Met,62.8,
Buncombe County Schools,110322,Early College,Western,,39.6,B,Met,76.9,90.6
Buncombe County Schools,110323,Middle College,Western,,44.7,A,,,89.2
Buncombe County Schools,110324,Candler Elementary,Western,Y,44.2,C,Met,50.9,
Buncombe County Schools,110326,Cane Creek Middle,Western,,32.2,B,Met,71.1,
Buncombe County Schools,110332,Bell Elementary,Western,Y,53,C,Met,59,
Buncombe County Schools,110336,Owen High,Western,,43.2,B,Exceeded,68.3,88.7
Buncombe County Schools,110338,Owen Middle,Western,,54.9,C,Not Met,57.8,
Buncombe County Schools,110340,Erwin High,Western,,58.2,C,Met,45.9,79.5
Edgecombe County Public School,330350,SouthWest Edgecombe High,North Central,,41.8,D,Not Met,33.4,75.3
Buncombe County Schools,110348,Emma Elementary,Western,Y,45.7,C,Met,49.2,
Buncombe County Schools,110352,Enka High,Western,,45.6,B,Exceeded,69.2,92.3
Buncombe County Schools,110356,Fairview Elementary,Western,Y,44,B,Met,66.9,
Buncombe County Schools,110366,Glen Arden Elementary,Western,,32.4,B,Not Met,79.1,
Buncombe County Schools,110368,Haw Creek Elementary,Western,Y,44.4,B,Met,64.9,
Buncombe County Schools,110370,Hominy Valley Elementary,Western,Y,41.1,B,Met,70.9,
Jackson County Schools,500316,Blue Ridge School,Western,Y,42,D,Not Met,49,
Buncombe County Schools,110376,Leicester Elementary,Western,Y,69.4,C,Met,61,
Buncombe County Schools,110379,North Buncombe Elementary,Western,Y,48.6,C,Exceeded,64.2,
Buncombe County Schools,110380,North Buncombe High,Western,,37.9,B,Not Met,62.2,84.4
Buncombe County Schools,110381,North Buncombe Middle,Western,,46.6,B,Exceeded,68.6,
Buncombe County Schools,110382,North Windy Ridge Intermediate,Western,Y,47.8,B,Exceeded,72.8,
Macon County Schools,560316,East Franklin Elementary,Western,Y,42.4,D,Not Met,44.7,
Buncombe County Schools,110388,Pisgah Elementary,Western,Y,57.3,B,Met,70.9,
Buncombe County Schools,110401,Enka Middle,Western,,60.1,C,Not Met,54.7,
Buncombe County Schools,110408,Sand Hill-Venable Elem,Western,Y,71.8,C,Met,58.5,
Anson County Schools,040311,Wadesboro Primary,Southwest,Y,79.3,F,Exceeded,24.4,
Buncombe County Schools,110412,Williams Elementary,Western,Y,59.7,C,Met,49.8,
Buncombe County Schools,110416,Roberson High,Western,,33.7,B,Met,62.4,89
Buncombe County Schools,110420,Valley Springs Middle,Western,,45.2,C,Met,59.7,
Buncombe County Schools,110422,Estes Elementary,Western,Y,44.5,C,Met,63.6,
Buncombe County Schools,110425,Enka Intermediate,Western,Y,59.9,C,Met,59.5,
Buncombe County Schools,110428,Weaverville Elementary,Western,Y,41.5,B,Met,74.6,
Buncombe County Schools,110432,Weaverville Primary,Western,Y,42.3,B,,,
Buncombe County Schools,110436,West Buncombe Elementary,Western,Y,58.9,B,Exceeded,69.8,
Buncombe County Schools,110444,Woodfin Elementary,Western,Y,45.5,C,Met,56.4,
Buncombe County Schools,110450,Koontz Intermediate,Western,Y,50.1,C,Not Met,59.5,
Buncombe County Schools,110451,Eblen Intermediate,Western,Y,73.6,C,Exceeded,56.5,
Buncombe County Schools,110500,Nesbitt Discovery Academy,Western,,22,A,Exceeded,>95,>95
Asheville City Schools,111302,Asheville High,Western,,25.2,B,Not Met,62.8,88.2
Asheville City Schools,111304,Hall Fletcher Elementary,Western,Y,55.1,C,Not Met,51.7,
Asheville City Schools,111306,Isaac Dickson Elementary,Western,Y,36.4,B,Met,72.9,
Asheville City Schools,111307,Asheville Primary,Western,Y,53,I,,,
Asheville City Schools,111312,Claxton Elementary,Western,Y,36.2,C,Met,64.8,
Asheville City Schools,111332,Ira B Jones Elementary,Western,Y,39.4,B,Met,69.8,
Asheville City Schools,111356,Asheville Middle,Western,,39.8,C,Not Met,59.5,
Asheville City Schools,111360,Vance Elementary,Western,Y,44.2,B,Met,68.5,
Asheville City Schools,111369,Montford North Star Academy,Western,,43.8,B,Exceeded,68.6,
Asheville City Schools,111700,School of Inquiry and Life Sciences,Western,,23.9,A,Met,75.6,>95
Burke County Schools,120308,Hallyburton Academy,Northwest,,80.5,ALT,,,
Burke County Schools,120310,Burke Middle College,Northwest,,28.1,A,,,>95
Burke County Schools,120312,Drexel Elementary,Northwest,Y,65.6,B,Exceeded,71.8,
Burke County Schools,120314,East Burke High,Northwest,,45.9,B,Not Met,62.4,93.2
Burke County Schools,120315,East Burke Middle,Northwest,,58.1,B,Met,62.3,
Burke County Schools,120316,Forest Hill Elementary,Northwest,Y,79.5,C,Met,55.7,
Burke County Schools,120318,Freedom High,Northwest,,51.8,B,Exceeded,60.3,91.9
Burke County Schools,120320,George Hildebrand Elementary,Northwest,Y,65.4,B,Exceeded,62.2,
Burke County Schools,120324,Glen Alpine Elementary,Northwest,Y,68.7,C,Met,59.7,
Burke County Schools,120334,Heritage Middle,Northwest,,50.4,B,Met,68,
Burke County Schools,120338,Hildebran Elementary,Northwest,Y,64.5,C,Met,60.6,
Burke County Schools,120340,Hillcrest Elementary,Northwest,Y,91.9,C,Exceeded,52.2,
Burke County Schools,120344,Icard Elementary,Northwest,Y,66.3,B,Met,71.2,
Burke County Schools,120346,Jimmy C Draughn High School,Northwest,,42,B,Not Met,59,>95
Burke County Schools,120350,Liberty Middle,Northwest,,48.9,B,Exceeded,64.2,
Burke County Schools,120352,North Liberty,Northwest,,51.9,ALT,,,
Johnston County Schools,510326,West Clayton Elementary,North Central,,43.2,D,Not Met,48.4,
Burke County Schools,120360,Mull Elementary,Northwest,Y,60.4,C,Met,54.3,
Burke County Schools,120364,Oak Hill Elementary,Northwest,Y,54.3,C,Met,53.2,
Burke County Schools,120368,Ray Childers Elementary,Northwest,Y,70.3,C,Met,62,
Burke County Schools,120370,Robert L. Patton High School,Northwest,,42.1,B,Exceeded,70.1,86.6
Burke County Schools,120374,Salem Elementary,Northwest,Y,52.2,B,Met,68.7,
Burke County Schools,120376,Table Rock Middle,Northwest,,58.2,C,Exceeded,61.3,
Burke County Schools,120380,Valdese Elementary,Northwest,Y,60,B,Not Met,70.7,
