code,name,eog_score_EDS
260407,Lake Rim Elementary,38.7
260408,Pine Forest High,51.2
260410,Ponderosa Elementary,40.7
260411,Reid Ross Classical High,59.1
260412,Raleigh Road Elementary,N/A
260413,Howard Learning Academy,N/A
260414,Benjamin J Martin Elementary,40.3
260415,Rockfish Elementary,59.1
260416,J W Seabrook Elementary,53.9
260417,New Century International Middle,53.6
260418,Seventy-First Classical Middle,68.8
260419,Reid Ross Classical Middle,44.7
260424,Seventy-First High,37
260425,South View Middle,33.3
260426,Sherwood Park Elementary,32.5
260427,South View High,43.4
260428,Spring Lake Middle,35
260430,Stedman Elementary,66.9
260432,Stedman Primary,N/A
260434,Stoney Point Elementary,57.6
260440,Sunnyside Elementary,28.3
260444,Teresa C Berrien Elementary,25.4
600576,West Charlotte High,18.5
260448,Vanstory Hills Elementary,53.1
260449,Ramsey Street High,N/A
260450,Warrenwood Elementary,43
260452,Westarea Elementary,38.6
260454,Westover Middle,41.1
260455,Westover High,40.2
260459,William T Brown Elementary,49.7
260700,Cumberland Polytechnic,>95
270304,Central Elementary,48.3
270306,Currituck County High,39.4
600579,West Mecklenburg High,30.5
270308,Currituck County Middle,36.1
270309,Jarvisburg Elementary,48.4
270310,Shawboro Elementary School,43.2
270311,The JP Knapp ECH (i)School,N/A
270312,Knotts Island Elementary,70
270316,Moyock Elementary,55.8
270318,Moyock Middle,46.8
270320,W T Griggs Elementary,46.7
280302,Cape Hatteras Elementary School,63.2
280304,Cape Hatteras Secondary School,52.2
280306,Dare Learning Academy,N/A
280308,Kitty Hawk Elementary School,63.8
280310,Nags Head Elementary School,66.8
280312,Manteo Elementary School,44.9
280316,Manteo High School,54.5
280320,Manteo Middle School,49.5
280324,First Flight Elementary School,72
280328,First Flight Middle School,46.9
280330,First Flight High School,41.9
290302,Brier Creek Elementary,65.5
290306,Northwest Elementary,60
290307,Southmont Elementary,44.6
290308,Central Davidson High,36.4
290309,Central Davidson Middle,51
290310,Stoner-Thomas School,N/A
290312,Churchland Elementary,48
290314,Davidson County High School,N/A
290315,Davidson Early College,N/A
290316,Davis-Townsend Elementary,57.2
290320,Denton Elementary,44.4
290322,E Lawson Brown Middle,47.1
290324,East Davidson High,46
290328,Fair Grove Elementary,37
290330,Friedberg Elementary,47
290332,Hasty Elementary,58.3
290333,Friendship Elementary,53.5
290334,Ledford Middle,52.2
600592,Vance High,32.5
290336,Ledford Senior High,44.8
290344,Midway Elementary,56.5
290348,North Davidson High,47.3
290349,Oak Grove High,51.3
290350,North Davidson Middle,54.3
290351,Oak Grove Middle,51.6
290352,Pilot Elementary,42.8
290356,Reeds Elementary,46
290364,Silver Valley Elementary,51.8
41K000,Piedmont Classical High School,23.7
