code,name,eog_score_white
140376,Oak Hill Elementary,59.6
140384,Sawmills Elementary,63.1
140386,South Caldwell High,59.2
140388,Valmead Elementary,N/A
140390,West Caldwell High,43
140392,West Lenoir Elementary,39.3
140396,Whitnel Elementary,53.4
150304,Camden County High,60.1
150308,Grandy Primary,89.8
150310,Camden Intermediate,70.7
150312,Camden Middle,68.8
150350,Camden Early College High,78.3
160304,Atlantic Elementary,72.7
160306,Bogue Sound Elementary,69.9
160308,Beaufort Elementary,74.6
160309,Bridges School,N/A
160310,Beaufort Middle,71
160311,Broad Creek Middle,77.4
160313,East Carteret High,77.5
160314,Croatan High,76.4
160316,Harkers Island Elementary,87.8
160317,Morehead Elem at Camp Glenn,73.8
160318,Morehead City Middle,79.5
160322,Morehead City Primary,86.9
160324,Newport Elementary,64
160326,Newport Middle,74
160332,Down East Middle and Smyrna Elementary,65.5
160343,Marine Sci. & Tech. Early College HS,86.7
160344,West Carteret High,76.7
160352,White Oak Elementary,74.6
170316,Bartlett Yancey High,39.2
170334,North Elementary,66.7
170338,N L Dillard Middle,45
170339,Oakwood Elementary,64.6
170342,South Elementary,60.1
170344,Stoney Creek Elementary,45.7
180302,Harry M Arndt Middle,74.7
180304,Balls Creek Elementary,73.3
180308,Bandys High,72.3
180312,Banoak Elementary,59.2
180316,Blackburn Elementary,67.6
180320,Bunker Hill High,52
180323,Catawba Rosenwald Education Center,N/A
180324,Catawba Elementary School,54.9
180325,Challenger Early College High,>95
180326,Charles H Tuttle Elementary,66.6
180332,Claremont Elementary,59.3
180336,Clyde Campbell Elementary,69.1
180340,Fred T Foard High,70.6
180342,Jacobs Fork Middle,68.2
180343,Lyle Creek Elementary,59.7
180344,Maiden Elementary,62.9
180346,Maiden Middle School,62.3
180348,Maiden High,62.6
180352,Mill Creek Middle,65.2
180356,Mountain View Elementary,79
180360,Oxford Elementary,59.9
180364,River Bend Middle,56.8
180368,Sherrills Ford Elementary,76.3
180372,Saint Stephens Elementary,66.8
180376,Saint Stephens High,74.4
180379,Snow Creek Elementary,71.8
180380,Startown Elementary,74.3
180388,Webb A Murray Elementary,59.5
181312,Northview Middle,76.7
181316,Grandview Middle,63.7
181318,Hickory Career Arts Magnet High School,58
181322,Hickory High,69.4
600397,Garinger High,41.9
181326,W M Jenkins Elementary,69.7
181332,Longview Elementary,66
181336,Oakwood Elementary,80.8
181342,Southwest Primary,N/A
181344,Viewmont Elementary,75.3
182304,Conover Special Education,N/A
182316,Newton-Conover High,61.3
182321,Newton-Conover Middle,65.2
182322,Shuford Elementary,83.8
182324,South Newton Elementary,68
182328,North Newton Elementary,53.7
182700,Discovery High School,90.6
190304,Bennett School,72.2
190308,Bonlee School,67.3
190310,SAGE Academy,N/A
190312,Chatham Middle,62.7
190316,Chatham Central High,58.9
600457,Rocky River High,44.4
190328,Horton Middle,76.3
190332,J S Waters School,71.5
190336,Jordan Matthews High,60.8
190339,Margaret B. Pollard Middle,80.1
190340,Moncure School,71.7
190341,North Chatham Elementary,76.5
190342,Northwood High,73.2
190346,Perry W Harrison Elementary,82.9
190348,Pittsboro Elementary,78.1
190350,Siler City Elementary,71.8
190352,Silk Hope School,76
190370,Virginia Cross Elementary,N/A
190501,Chatham School of Science & Engineering,89.7
200304,Andrews Elementary,65.5
200308,Andrews High,69.1
200310,Andrews Middle,63.1
200312,Hiwassee Dam Elementary/Middle,69.6
200314,Hiwassee Dam High,56.7
200320,Martins Creek Elementary/Mid,62.3
200322,The Oaks Academy,N/A
200324,Murphy Elementary,63.1
200328,Murphy High,51.9
200330,Murphy Middle,65.8
200332,Peachtree Elementary,66
200336,Ranger Elementary/Middle,52.3
200350,Tri-County Early College High,77.8
210304,Chowan Middle,72.1
210306,D F Walker Elementary,77.2
210312,John A Holmes High,61.3
210316,White Oak Elementary,N/A
220308,Hayesville Elementary,68
220310,Hayesville High,56
220312,Hayesville Middle,55.2
230304,Bethware Elementary,69.4
230308,Boiling Springs Elementary,75.1
230312,Burns High,48.3
230316,Burns Middle,69.2
