code,name,eog_score_latino
180343,Lyle Creek Elementary,48.3
180344,Maiden Elementary,64.4
180346,Maiden Middle School,48.1
180352,Mill Creek Middle,40
180356,Mountain View Elementary,81.3
180360,Oxford Elementary,43.2
180364,River Bend Middle,49.4
180368,Sherrills Ford Elementary,N/A
180372,Saint Stephens Elementary,47.6
180376,Saint Stephens High,47.1
180379,Snow Creek Elementary,60.5
180380,Startown Elementary,57.4
180388,Webb A Murray Elementary,50.5
181312,Northview Middle,49.3
181316,Grandview Middle,54.8
181318,Hickory Career Arts Magnet High School,N/A
181322,Hickory High,36.4
181326,W M Jenkins Elementary,60.3
181332,Longview Elementary,69.9
181336,Oakwood Elementary,53.9
181342,Southwest Primary,N/A
181344,Viewmont Elementary,49.2
182304,Conover Special Education,N/A
182316,Newton-Conover High,44.4
182321,Newton-Conover Middle,46.3
182322,Shuford Elementary,65.8
182324,South Newton Elementary,54.3
182328,North Newton Elementary,32.4
182700,Discovery High School,N/A
190304,Bennett School,N/A
190308,Bonlee School,53.5
190310,SAGE Academy,N/A
190312,Chatham Middle,43.3
190316,Chatham Central High,N/A
190328,Horton Middle,60.7
190332,J S Waters School,47.6
190336,Jordan Matthews High,42.8
190339,Margaret B. Pollard Middle,47.4
190340,Moncure School,50
190341,North Chatham Elementary,44.6
190342,Northwood High,33.6
190346,Perry W Harrison Elementary,63.8
190348,Pittsboro Elementary,60.3
190350,Siler City Elementary,64.8
190352,Silk Hope School,36.7
190370,Virginia Cross Elementary,52.4
190501,Chatham School of Science & Engineering,N/A
200304,Andrews Elementary,75
200308,Andrews High,N/A
200310,Andrews Middle,65.2
200312,Hiwassee Dam Elementary/Middle,N/A
200314,Hiwassee Dam High,N/A
200320,Martins Creek Elementary/Mid,55.6
200322,The Oaks Academy,N/A
200324,Murphy Elementary,N/A
200328,Murphy High,N/A
200330,Murphy Middle,59.4
200332,Peachtree Elementary,N/A
200336,Ranger Elementary/Middle,N/A
200350,Tri-County Early College High,N/A
210304,Chowan Middle,46.4
210306,D F Walker Elementary,55.8
210312,John A Holmes High,N/A
600364,Military and Global Leadership Academy,36.7
