code,name,county,city,full_address,Longitude,Latitude,district,region,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
320320,Glenn Elementary,Durham,Durham,"2415 E Geer Street, Durham, NC 27704",-78.837487,36.029499,Durham Public Schools,North Central,Y,58.3,D,Not Met,32.5,
32M000,Global Scholars Academy,Durham,Durham,"311 Dowd St, Durham, NC 27701",-78.8929997,36.0008147,Charter Schools,North Central,Y,85.6,D,Not Met,49.2,
960335,Goldsboro High,Wayne,Goldsboro,"901 E Beech Street, Goldsboro, NC 27530",-77.9796645,35.3871146,Wayne County Public Schools,Southeast,N,90.6,D,Not Met,12.1,73.8
230342,Graham Elementary,Cleveland,Shelby,"1100 Blanton Street, Shelby, NC 28150",-81.558864,35.288762,Cleveland County Schools,Southwest,Y,78.3,F,Not Met,25,
10350,Graham Middle,Alamance,Graham,"311 E Pine Street, Graham, NC 27253",-79.4052184,36.0683622,Alamance-Burlington Schools,Piedmont-Triad,Y,85.1,F,Not Met,30.9,
06A000,Grandfather Academy,Avery,Banner Elk,"64 Grandfather Home Drive, Banner Elk, NC 28604",-81.8783765,36.1521736,Charter Schools,Northwest,Y,50,F,,<5,
960338,Grantham Middle,Wayne,Goldsboro,"3093 S US Hwy 13, Goldsboro, NC 27530",-78.1497816,35.2949716,Wayne County Public Schools,Southeast,Y,57.9,D,Not Met,45.2,
390321,Granville Academy,Granville,Oxford,"200 Taylor Street, Oxford, NC 27565",-78.5862227,36.3165557,Granville County Schools,North Central,N,38.6,D,Met,48.9,
920440,Green Elementary,Wake,Raleigh,"5307 Six Forks Road, Raleigh, NC 27609",-78.644422,35.854114,Wake County Schools,North Central,Y,60.2,D,Met,44.4,
400312,Greene County Middle,Greene,Snow Hill,"485 Middle School Road, Snow Hill, NC 28580",-77.669652,35.4911521,Greene County Schools,Southeast,Y,70.1,D,Not Met,38.5,
600398,Greenway Park Elementary,Mecklenburg,Charlotte,"8301 Monroe Rd, Charlotte, NC 28212",-80.745946,35.157393,Charlotte-Mecklenburg Schools,Southwest,Y,52.8,D,Not Met,49.2,
340384,Griffith Elementary,Forsyth,Winston Salem,"1385 W Clemmonsville Road, Winston Salem, NC 27127",-80.2645469,36.041069,Forsyth County Schools,Piedmont-Triad,Y,53.8,D,Exceeded,41.1,
740352,Grifton,Pitt,Grifton,"513 E McCrae St, Grifton, NC 28530",-77.4319478,35.3722711,Pitt County Schools,Northeast,Y,70.6,D,Met,43.6,
10351,Grove Park Elementary,Alamance,Burlington,"141 Trail One, Burlington, NC 27215",-79.4606761,36.0800356,Alamance-Burlington Schools,Piedmont-Triad,Y,60.9,D,Met,35.3,
132314,GW Carver Elementary,Cabarrus,Kannapolis,"525 East C St, Kannapolis, NC 28083",-80.6173412,35.4933308,Kannapolis City Schools,Southwest,Y,30.6,D,Met,42.7,
360492,H H Beam Elementary,Gaston,Gastonia,"200 Davis Park Road, Gastonia, NC 28052",-81.202048,35.2231519,Gaston County Schools,Southwest,Y,63.2,D,Not Met,33.4,
250332,H J MacDonald Middle,Craven,New Bern,"3127 Elizabeth Avenue, New Bern, NC 28562",-77.0977115,35.1173264,Craven County Schools,Southeast,N,67.1,D,Not Met,48.4,
93A000,Haliwa-Saponi Tribal School,Warren,Hollister,"130 Haliwa-Saponi Trail, Hollister, NC 27844",-77.981472,36.2520257,Charter Schools,North Central,Y,65,D,Met,31,
340390,Hall-Woodward Elementary,Forsyth,Winston Salem,"125 Nicholson Road, Winston Salem, NC 27107",-80.174661,36.0807519,Forsyth County Schools,Piedmont-Triad,Y,64.3,D,Met,34,
410403,Hampton Elem Univ Partnership,Guilford,Greensboro,"2301 Trade Street, Greensboro, NC 27401",-79.7544451,36.0668121,Guilford County Schools,Piedmont-Triad,Y,76.4,D,Exceeded,39.4,
600405,Harding University High,Mecklenburg,Charlotte,"2001 Alleghany St, Charlotte, NC 28208",-80.903264,35.2360718,Charlotte-Mecklenburg Schools,Southwest,Y,51.7,D,Not Met,28.4,55.6
430347,Harnett Central Middle,Harnett,Angier,"2529 Harnett Central Rd, Angier, NC 27501",-78.7861368,35.4627231,Harnett County Schools,North Central,N,59.3,D,Not Met,46.9,
10354,Harvey R Newlin Elementary,Alamance,Burlington,"316 Carden Street, Burlington, NC 27215",-79.4205411,36.0734088,Alamance-Burlington Schools,Piedmont-Triad,Y,69.1,D,Met,33.2,
250344,Havelock Middle,Craven,Havelock,"102 Middle School Lane, Havelock, NC 28532",-76.8982898,34.877554,Craven County Schools,Southeast,N,67.5,D,Not Met,46.7,
10357,Haw River Elementary,Alamance,Haw River,"701 E Main Street, Haw River, NC 27258",-79.358827,36.092396,Alamance-Burlington Schools,Piedmont-Triad,Y,55.9,D,Met,34.6,
32B000,Healthy Start Academy,Durham,Durham,"807 West Chapel Hill Street, Durham, NC 27701",-78.9137691,35.996406,Charter Schools,North Central,Y,69.9,D,Exceeded,43.7,
08A000,Heritage Collegiate Leadership Academy,Bertie,Windsor,"118-B County Farm Road, Windsor, NC 27983",-76.9466248,35.9776865,Charter Schools,Northeast,Y,72.4,F,Not Met,8.6,
460320,Hertford County High,Hertford,Ahoskie,"1500 W First St, Ahoskie, NC 27910",-76.997607,36.2962907,Hertford County Schools,Northeast,Y,55.2,D,Not Met,24.5,74.7
460318,Hertford County Middle,Hertford,Murfreesboro,"1850 Hwy 11N, Murfreesboro, NC 27855",-77.0887329,36.429706,Hertford County Schools,Northeast,Y,58.2,D,Exceeded,28.5,
600412,Hidden Valley Elementary,Mecklenburg,Charlotte,"5100 Snow White Ln, Charlotte, NC 28213",-80.784279,35.268156,Charlotte-Mecklenburg Schools,Southwest,Y,65.6,D,Met,44.1,
600414,Highland Renaissance Academy,Mecklenburg,Charlotte,"125 W Craighead Rd, Charlotte, NC 28206",-80.8036049,35.255572,Charlotte-Mecklenburg Schools,Southwest,Y,63.5,D,Not Met,39.6,
10358,"Hillcrest Elementary, Burlington",Alamance,Burlington,"1714 W Davis Street, Burlington, NC 27215",-79.4648653,36.1031392,Alamance-Burlington Schools,Piedmont-Triad,Y,57.6,D,Met,33.1,
920446,Hodge Road Elementary,Wake,Knightdale,"2128 Mingo Bluff Boulevard, Knightdale, NC 27545",-78.5221992,35.7763059,Wake County Schools,North Central,Y,71.9,D,Not Met,39.3,
92Q000,Hope Charter Leadership Academy,Wake,Raleigh,"1116 N Blount Street, Raleigh, NC 27604",-78.6351684,35.7952467,Charter Schools,North Central,Y,48.5,D,Met,31.7,
260368,Hope Mills Middle,Cumberland,Hope Mills,"4975 Cameron Road, Hope Mills, NC 28348",-78.9399003,34.9655563,Cumberland County Schools,Sandhills,N,55.1,D,Not Met,47.4,
600416,Hornets Nest Elementary,Mecklenburg,Charlotte,"6700 Beatties Ford Rd, Charlotte, NC 28216",-80.865288,35.324731,Charlotte-Mecklenburg Schools,Southwest,Y,49.9,D,Met,43,
670322,Hunters Creek Middle,Onslow,Jacksonville,"4040 Hunters Trail, Jacksonville, NC 28546",-77.3351971,34.7421965,Onslow County Schools,Southeast,Y,56.3,D,Not Met,47.2,
